Name,Address,Website
St. Peter’s Institute of Higher Education and Research,Avadi  Chennai    Tamil Nadu - 600054 ,http://www.spiher.ac.in
VELS Institute of Science Technology & Advanced Studies (VISTAS) ,Velen Nagar  P. V. Vaithiyaligam Road  Pallavaram Chennai   Tamil Nadu - 600117 ,http://www.velsuniv.ac.in
Vellore Institute of Technology ,Vellore      Tamil Nadu -  ,http://www.vit.ac.in
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology ,Chennai      Tamil Nadu -  ,http://www.veltechuniv.edu.in   www.vel-tech.org
Vinayaka Mission’s Research Foundation ,Sankari Mani Road NH 47  Ariyanoor Salem    Tamil Nadu -  ,http://www.vinayakamission.com
Sam Higginbottom Institute of Agriculture  Technology & Sciences,Rewa Road  Naini Allahabad     Uttar Pradesh - 211 007 ,http://www.shiats.edu.in
Bhatkhande Music Institute ,1 'Kaiser Bagh  Lucknow     Uttar Pradesh -  ,http://www.bhatkhandemusic.edu.in
Central Institute of Higher Tibetan Studies ,Sarnath  Varanasi    Uttar Pradesh -  ,http://www.cihts.ac.in
Dayalbagh Educational Institute  ,Dayalbagh  Agra    Uttar Pradesh -  ,http://www.dei.ac.in
Indian Veterinary Research Institute ,Izatnagar U.P.    Uttar Pradesh -  ,http://www.ivri.nic.in
Jaypee Institute of Information Technology ,A-10 Sector-62  Noida    Uttar Pradesh -  ,http://www.jiit.ac.in
Nehru Gram Bharati ,Kotwa-Jamunipur  Dubawal  Prayagraj   Uttar Pradesh - 221505 ,http://www.ngbu.edu.in
Shobhit Institute of Engineering & Technology ,Dulhera Marg Roorkee Road  Meerut      Uttar Pradesh -  ,http://www.shobhituniversity.ac.in
Santosh ,Santosh Nagar  Ghaziabad     Uttar Pradesh - 201009 ,https://santosh.ac.in/
Forest Research Institute ,P.O. New Forest  Dehradun    Uttarakhand -  ,http://www.icfre.org
Gurukul Kangri vidyapeeth,Haridwar Uttrakhand.    Uttarakhand -  ,http://www.gkvharidwar.org
Graphic Era   ,Bell Road Clement Town  Dehradun Uttrakhand.    Uttarakhand -  ,http://www.ugc.ac.in
Ramakrishna Mission Vivekananda Educational  and Research Institute,P.O. Belur Math Distt Howrah  West Bengal    West Bengal -  ,http://www.rkmvu.ac.in
Assam Don Bosco University,Azara  Guwahati     Assam - 781 017 ,http://www.dbuniversity.ac.in
Dr. C.V. Raman University,Kargi Road  Kota Bilaspur    Chhattisgarh-  ,http://www.cvru.ac.in
MATS University ,Arang Kharora   District :  Raipur    Chhattisgarh-  ,http://www.matsuniversity.ac.in
Charotar University of Science & Technology,CHARUSAT Campus  At Changa  Taluka Petlad  District Anand   Gujarat - 388421 ,http://www.charusat.ac.in
Calorx Teacher's University ,Greenwood  Nr  Vaishnodevi Circle Sardar patel Ring Road  Oganj PO. Chandlodia  Ahmedabad   Gujarat - 382481 ,http://www.ctu.org.in
Dhirubhai Ambani Institute of Information and Communication Technology ,Near Indroda Circle Gandhinagar     Gujarat - 382 007 ,http://www.daiict.ac.in
Ganpat University ,Ganpat Vidyanagar  Mehsana Goazaria Highway District Mehsana   Gujarat - 382 711 ,http://www.ganpatuniversity.ac.in
Kadi  Sarva Vishwavidyalaya, Sarva  Vidyalaya Campus Sector 15/23  Gandhinagar    Gujarat -  ,http://ksvuniversity.org.in
Nirma University,"Sarkhej,Gandhinagar Highway Village - Chharodi Ahmedabad   Gujarat -  ",http://www.nirmauni.ac.in
Pandit Deendayal petroleum University,At Raisan  Dist.Gandhinagar     Gujarat -  ,http://www.pdpu.ac.in
The Northcap University ,HUDA  Sector 23-A  Gurgaon      Haryana - 122 017 ,http://ncuindia.edu
O.P. Jindal Global University,Sonipat     Haryana -  ,http://www.jgls.org
Acharaya N.G.Ranga Agricultural University,Lam  Gantur     Andhra Pradesh- 522034 ,http://www.angrau.ac.in
Acharaya Nagarjuna University,Nagarjuna Nagar Guntur    Andhra Pradesh- 522 510  ,http://www.anu.ac.in
