Name,City,State,Website
O.P. Jindal Global University,Sonipat,Haryana,http://www.jgls.org
Acharaya Nagarjuna University,Guntur,Andhra Pradesh,http://www.anu.ac.in
Adikavi Nannaya University,Krishnapuram,Tamil Nadu ,http://www.nannayauniversity.info/
Aliah University,Kolkata ,West Bengal,http://www.aliah.ac.in
Andhra University,Patna,Bihar,http://www.andhrauniversity.info/
Anna University,Chennai,Tamil Nadu ,http://www.annauniv.edu
Assam Agricultural University,Jorhat,Assam,http://www.aau.ac.in
Baba Ghulam Shah Badshah University,Jammu,Jammu and Kashmir,http://www.bgsbuniversity.org
Barkatullaah University,Bhopal ,Madhya Pradesh,http://www.bubhopal.nic.in
Bhagat Phool Singh Mahila Vishwavidyalaya,Sonipat,Haryana,http://www.bpswomenuniversity.ac.in
Bharathiar University,Coimbatore,Tamil Nadu ,http://www.bdu.ac.in
Krishnakumarsinhji Bhavnagar University,Bhavnagar,Gujarat,http://www.bhavuni.edu
Birsa Agricultural University,Ranchi,Jharkhand,http://www.baujharkhand.org
Bundelkhand University,Jhansi,Uttar Pradesh,http://www.bujhansi.org
Calcutta University,Kolkata ,West Bengal,http://www.caluniv.ac.in
Calicut University ,Calicut,Kerala,http://www.universityofcalicut.info
CEPT University ,Ahmedabad,Gujarat,http://www.cept.ac.in
Chanakya National Law University,Hapur,Uttar Pradesh,http://www.cnlu.ac.in
Chatrapati Sahuji Maharaj Kanpur University,Kalyan,Maharashtra,http://www.kanpuruniversity.org
Chaudhary Devi Lal University,Sirsa,Haryana,http://www.cdlu.in
Chhattisgarh Swami Vivekanad Technical Universty,Bhilai,Chhattisgarh,http://www.csvtu.ac.in
Choudary Charan Singh University,Meerut,Uttar Pradesh,http://www.ccsuniversity.ac.in
Cochin Unviersity of Science & Technology,Kochi,Kerala,http://www.cusat.edu
Davangere University,Davangere,Karnataka,http://www.davangereuniversity.ac.in
Devi Ahilya Vishwavidyalaya,Indore,Madhya Pradesh,http://www.dauniv.ac.in
Dibrugarh University,Dibrugarh,Assam,http://www.dibru.ac.in
Doon University,Dehradun,Uttarakhand,http://www.gov.ua.nic.in/doonuniversity
Dr. B.R.Ambedkar Open University,Hyderabad,Telangana,http://www.braou.ac.in
Dr. B.R. Ambedkar University,Agra,Uttar Pradesh,http://www.brauagra.ac.in
Dr. Babasaheb Ambedkar Marathwada University,Aurangabad,Maharashtra,http://www.bamu.net
Dr. Babasaheb Ambedkar Open University,Ahmedabad,Gujarat,http://www.baou.edu.in/
Dr. Punjabrao Deshmukh Krishi Vidyapeeth,Akola,Maharashtra,http://www.pdkv.mah.nic.in
Dr. Ram Manohar Lohiya National Law University,Lucknow,Uttar Pradesh,http://www.rmlau.ac.in
Dr. Shakuntala Misra National Rehabilitation University,Lucknow,Uttar Pradesh,http://www.dsmru.up.nic.in
Gauhati University,Guwahati,Assam,http://www.gauhati.ac.in
Gujarat Technological University,Ahmedabad,Gujarat,http://www.gtu.ac.in
Gujarat University,Ahmedabad,Gujarat,http://www.gujaratuniversity.org.i
Gulbarga University,Gulbarga,Karnataka,http://www.gulbargauniversity.kar.nic.ini
Guru Angad Dev Veterinary & Animal Sciences University,Ludhiana,Punjab,http://www.gadvasu.in
Guru Jambeshwar University of Science and Technology,Hisar,Haryana,http://www.gju.ernet.in
Guru Nanak Dev University,Amritsar,Punjab,http://www.gndu.ac.in
Hidayatullah National Law University,Raipur,Chhattisgarh,http://www.hnlu.ac.in
Himachal Pradesh University,Shimla,Himachal Pradesh,http://www.hpuniv.nic.in
Indira Gandhi Krishi Vishwavidyalaya,Raipur,Chhattisgarh,http://www.igau.edu.in
Islamic University of Sciences & Technology University,Jammu,Jammu and Kashmir,http://www.islamicuniversity.edu.in
Jagadguru Ramanandacharya Sanskrit University,Jaipur,Rajasthan,http://www.jrrsanskrituniversity.ac.in
Jai Naraim Vyas University,Jodhpur,Rajasthan,http://www.jnvu.org
Jammu University ,Jammu,Jammu and Kashmir,http://www.jammuuniversity.in
Jawaharlal Nehru Krishi Vishwavidyalaya,Jabalpur,Madhya Pradesh,http://www.jnkvv.nic.in
Jawaharlal Nehru Technological University,Hyderabad,Telangana,http://www.jntuh.ac.in
Jawaharlal Nehru Technological University,Hapur,Uttar Pradesh,http://www.jntuk.edu.in
Jiwaji University,Gwalior,Madhya Pradesh,http://www.jiwaji.edu
Kakatiya University,Puri,Odisha,http://www.kakatiya.ac.in
Kalyani University,Kalyan,Maharashtra,http://www.klyuniv.ac.in
Karanataka  State Law University,Hubli,Karnataka,http://www.kslu.ac.in
Karanataka  State Open University,Mysore,Karnataka,http://karnatakastateopenuniversity.in
Kannada University,Bellary,Karnataka,http://www.kannadauniversity.org
Karanataka Veterinary  Animal & Fisheries Science University ,Bidar,Karnataka,www.kvafsu.kar.nic.in; www.kvafsu.edu.in  
Kashmir University,Jammu,Jammu and Kashmir,http://www.kashmiruniversity.net
Kerala University,Hapur,Uttar Pradesh,http://www.keralauniversity.edu
King Georges Medical University,Lucknow,Uttar Pradesh,http://www.kgmcindia.edu
Krantiguru Shyamji Krishna Verma Kachchh University,Bhuj,Gujarat,http://kskvku.digitaluniversity.ac
Krishna Kanta Handique State Open University,Dispur,Assam,http://www.kkhsou.in
Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya,Raipur,Chhattisgarh,http://www.ktujm.ac.in
Kuvempu University,Shimoga,Karnataka,http://www.kuvempu.ac.in
Lucknow University,Lucknow,Uttar Pradesh,http://www.lkouniv.ac.in
M.J.P. Rohilkhand University,Bareilly,Uttar Pradesh,http://www.mjpru.ac.in 
M.P.Bhoj (open) University,Bhopal ,Madhya Pradesh,http://www.bhojvirtualuniversity.com
Madaras University,Chennai,Tamil Nadu ,http://www.unom.ac.in 
Madurai Kamraj University,Madurai,Tamil Nadu ,http://www.mkuniversity.org
Magadh University,Gaya,Bihar,http://www.magadhuniversity.ac.in/
Maharshi Panini Sanskrit Evam Vedic Vishwavidyalaya,Ujjain,Madhya Pradesh,http://http://mpsvvujjain.org
Maharaja Sayajirao University of Baroda ,Vadodara,Gujarat,www .msubaroda.ac.in
Maharana Pratap University of Agriculture & Technology,Udaipur,Rajasthan,http://www.mpuat.ac.in
Maharishi Dayanand Saraswati University,Ajmer,Rajasthan,http://mdsuajmer.ac.in/
Maharishi Dayanand University,Rohtak,Haryana,http://www.mdurohtak.ac.in
Mahatam Gandhi Kashi Vidyapeeth,Varanasi,Uttar Pradesh,http://www.mgkvp.ac.in
Mahatma Gandhi University ,Nalgonda,Telangana,http://www.mguniversity.ac.in
Makhanlal Chaturvedi National University of Journalism & Communication,Bhopal ,Madhya Pradesh,http://www.mcu.ac.in/
Mangalore University,Mangalore,Karnataka,http://www.mangaloreuniversity.ac.in
Marathwada Agricultural University,Parbhani,Maharashtra,http://www.mkv2.mah.nic.in
Maulana Mazharul Haque Arabic & Persian University,Patna,Bihar,http://mmhapu.bih.nic.in
Mohan Lal Shukhadia University,Udaipur,Rajasthan,http://www.mlsu.ac.in
Mumbai University,Mumbai,Maharashtra,http://www.mu.ac.in
Mysore University,Mysore,Karnataka,http://www.uni-mysore.ac.in
Nalanda Open University,Patna,Bihar,http://www.nalandaopenuniversity.com   www.nou.ac.in  
National Academy of Legal Studies & Research University,Hyderabad,Telangana,http://nalsar.ac.in
National Law Institute University,Bhopal ,Madhya Pradesh,http://www.nliu.ac.in
National Law Universituy,Jodhpur,Rajasthan,http://www.nlujodhpur.ac.in
National University of Advanced Legal Studies (NUALS),Kochi,Kerala,http://www.nuals.ac.in
Orissa University Of Agriculture & Technology,Bhubaneshwar,Odisha,http://www.ouat.ac.in
Osmania University,Hyderabad,Telangana,http://www.osmania.ac.in
Palamuru University ,Mahabubnagar,Telangana,http://www.palamuruuniversity.ac.in
Periyar University,Salem,Tamil Nadu ,http://periyaruniversity.ac.in
Potti Sreeramulu Teugu Universtity,Hyderabad,Telangana,http://teluguuniversity.ac.in/
Pt. Bhagwat Dayal Sharma University of Health Sciences,Rohtak,Haryana,'http://www.uhsr.ac.in
Pt. Sundarlal Sharma (Open) University,Bilaspur,Chhattisgarh,http://www.pssou.ac.in
Pt.Ravishankar Shukla University,Raipur,Chhattisgarh,http://www.prsu.ac.in
Savitribai Phule Pune University,Pune,Maharashtra,http://www.unipune.ac.in
Punjab Agriculture University,Ludhiana,Punjab,http://www.pau.edu
Punjabi University,Patiala,Punjab,http://www.punjabiuniversity.ac.in
